Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date
ADULT DAY PROGRAM,79200839,A STEP ABOVE LLC,A STEP ABOVE LLC,"MANZANO, PATRICK H",(704) 840-5780,3648 DELTA FAIR BLVD,ANTIOCH,CA,94509,CONTRA COSTA,15,30,LICENSED,,
ADULT DAY PROGRAM,435202286,A & T TRAINING CENTER,JP PHAM CORPORATION,ALLISON NGO,(408) 900-8940,3269 KIFER RD.,SANTA CLARA,CA,95051,SANTA CLARA,26,100,LICENSED,2/22/2012,
ADULT DAY PROGRAM,236801916,"ABC DAY PROGRAMS, MENDOCINO","ASSOCIATION OF BEHAVIOR CONSULTANTS, INC.","SPEED, NATHAN",(707) 462-3283,"564 S. DORA STREET, STE B",UKIAH,CA,95482,MENDOCINO,21,30,LICENSED,5/25/2006,
ADULT DAY PROGRAM,430707208,ABILITIES UNITED L.E.A.R.N.,ABILITIES UNITED,SOHEILA MOZAYAN,(650) 494-0550,3864 MIDDLEFIELD ROAD,PALO ALTO,CA,94303,SANTA CLARA,26,53,LICENSED,8/20/1993,
ADULT DAY PROGRAM,197609716,ABILITY I II III,MJK PARKVIEW INC,"KIM, MICHAEL K",(213) 808-7860,2400 JAMES M WOOD BLVD,LOS ANGELES,CA,90006,LOS ANGELES,31,75,PENDING,,
ADULT DAY PROGRAM,11441112,"ABILITY NOW BAY AREA, INC.","ABILITY NOW BAY AREA, INC.","LESLIE WEROSH, MPA",(510) 531-3323,4500 LINCOLN AVENUE,OAKLAND,CA,94602,ALAMEDA,15,100,LICENSED,8/10/1994,
ADULT DAY PROGRAM,198602054,ABILITYFIRST,ABILITYFIRST,KELLY PRIVITT,(909) 621-4727,480 S INDIAN HILL BLVD,CLAREMONT,CA,91711,LOS ANGELES,28,24,CLOSED,,4/13/2016
ADULT DAY PROGRAM,198601651,ABILITYFIRST,ABILITYFIRST,MONIQUE WATTS,(323) 753-3101,7860 10TH AVENUE,LOS ANGELES,CA,90043,LOS ANGELES,28,26,CLOSED,6/5/2013,4/16/2015
ADULT DAY PROGRAM,198602059,ABILITYFIRST - LAWRENCE L. FRANK CENTER,ABILITYFIRST,"PRIVITT, KELLY",(626) 449-5661,201 S KINNELOA AVE,PASADENA,CA,91107,LOS ANGELES,28,36,LICENSED,3/17/2017,
ADULT DAY PROGRAM,191600097,ABILITYFIRST LONG BEACH CENTER ADULT DAY PROGRAM,CRIPPLED CHILDREN'S SOCIETY,"SCHLOSSER, BARBARA",(562) 426-6161,3770 E WILLOW ST,LONG BEACH,CA,90815,LOS ANGELES,28,40,LICENSED,12/12/1986,
ADULT DAY PROGRAM,306004283,ABILITYFIRST NEWPORT MESA ADULT DAY PROGRAM,ABILITY FIRST,JOY THOMAS,(714) 546-6727,1060 PAULARINO AVENUE,COSTA MESA,CA,92626,ORANGE,22,15,CLOSED,9/21/2011,9/11/2015
ADULT DAY PROGRAM,317005948,ABLE,AMITIS POURARIAN,"POURARIAN, AMITIS",(916) 276-6777,8200 SIERRA COLLEGE D,ROSEVILLE,CA,95661,PLACER,27,30,LICENSED,10/31/2016,
ADULT DAY PROGRAM,45002535,ABOVE AND BEYOND DAY PROGRAM,"LATHAM, SHIRLEEN",JOLEEN JOHNSON,(530) 868-5570,753 BIGGS E. HIGHWAY,BIGGS,CA,95917,BUTTE,25,24,CLOSED,,5/22/2014
ADULT DAY PROGRAM,107204023,ACCESS SPECIALIZED TREATMENT PROGRAM,ACCESS COMMUNITY SERVICES,"KENDALL, RICHARD",(559) 225-6370,3433 WEST SHAW AVE. #101,FRESNO,CA,93711,FRESNO,24,45,LICENSED,2/4/2008,
ADULT DAY PROGRAM,397001249,ACCESS STOCKTON,ASSOCIATION FOR RETARDED CITIZENS - S.J.,MIA CHATMAN,(209) 475-0791,1708 W. HAMMER LANE,STOCKTON,CA,95207,SAN JOAQUIN,27,42,CLOSED,6/18/1999,4/1/2015
ADULT DAY PROGRAM,397005338,ACCESS STOCKTON,"ARC SAN JOAQUIN- ACCESS STOCKTON, THE",MIA CHATMAN,(209) 475-0791,41 W YOKUTS AVE,STOCKTON,CA,95207,SAN JOAQUIN,27,42,CLOSED,,12/16/2013
ADULT DAY PROGRAM,374601713,ACCESS UNLIMITED INC.,ACCESS UNLIMITED INC.,MARITZA HERNANDEZ-CLAY,(760) 505-2870,1591-B E. VISTA WAY,VISTA,CA,92084,SAN DIEGO,8,30,CLOSED,11/18/2003,12/1/2017
ADULT DAY PROGRAM,347001222,ACE-IT I,EASTER SEAL SOCIETY OF SUPERIOR CALIFORNIA,SUE HARRIS,(916) 564-6117,"1250 HOWE AVE, UNIT 14B",SACRAMENTO,CA,95825,SACRAMENTO,27,36,LICENSED,12/29/1998,
ADULT DAY PROGRAM,340312462,ACE-IT II,SACRAMENTO AREA EASTER SEAL SOCIETY,"HARRIS, SUE",(916) 962-2766,"8089 MADISON AVE, SUITE 4",CITRUS HEIGHTS,CA,95610,SACRAMENTO,27,60,LICENSED,10/6/1989,
ADULT DAY PROGRAM,515000625,ACE-IT III,EASTER SEAL SOCIETY OF SUPERIOR CALIFORNIA,AMY FULK,(530) 673-4585,"1670 SIERRA AVE, SUITE 601",YUBA CITY,CA,95993,SUTTER,25,60,LICENSED,6/1/1998,
ADULT DAY PROGRAM,157200175,ACES,DELANO ASSOC. FOR THE DEVELOPMENT DISABLED,"IRVING, CONNIE",(661) 721-3220,612 MAIN STREET,DELANO,CA,93215,KERN,24,90,LICENSED,6/16/1995,
ADULT DAY PROGRAM,150406303,"ACHIEVEMENT CENTER, THE","DELANO ASSN. FOR THE DEVELOPMENTALLY DISABLED, INC","BOLANOS, MARIO",(661) 721-3222,531 HIGH STREET,DELANO,CA,93215,KERN,24,60,LICENSED,7/19/1990,
ADULT DAY PROGRAM,405801725,"ACHIEVEMENT HOUSE, INC","ACHIEVEMENT HOUSE, INC",TRACI HOLLINGER,(805) 543-0412,553 HIGUERA STREET,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,29,60,LICENSED,1/5/2011,
ADULT DAY PROGRAM,306004318,ACHIEVING RESULTS TOGETHER,"ARTS & SERVICES FOR DISABLED, INC.",BRIANA LUQUE,(562) 982-0252,3626 E. PACIFIC COAST HIGHWAY,LONG BEACH,CA,90804,ORANGE,28,48,LICENSED,7/27/2011,
ADULT DAY PROGRAM,374602830,ACI,"ASSOCIATION FOR COMMUNITY INDEPENDENCE, INC","ANDERSON, TAMARA",(619) 409-4100,344 F STREET SUITE 101,CHULA VISTA,CA,91910,SAN DIEGO,8,45,CLOSED,5/8/2009,5/7/2015
ADULT DAY PROGRAM,374603621,ACI,"ASSOCIATION FOR COMMUNITY INDEPENDENCE, INC.",TAMARA ANDERSON,(619) 409-4100,"296 H STREET, #101",CHULA VISTA,CA,91910,SAN DIEGO,8,60,LICENSED,5/7/2015,
ADULT DAY PROGRAM,197600306,ACTIVITIES FOR RETARDED CHILDREN AND ADULTS,ARC ACTIVITIES FOR RETARDED CHILDREN AND ADULTS,"SCHALLERT, MARY",(818) 762-4365,6456 WHITSETT AVE.,NORTH HOLLYWOOD,CA,91606,LOS ANGELES,31,36,LICENSED,3/6/1995,
ADULT DAY PROGRAM,157208254,ADAKC,ALZHEIMER'S DISEASE ASSOCIATION OF KERN COUNTY INC,"EUCCE, B. KATE",(661) 665-8871,4203 BUENA VISTA RD,BAKERSFIELD,CA,93311,KERN,24,100,LICENSED,12/2/2016,
ADULT DAY PROGRAM,547202416,ADULT ACHIEVEMENT CENTER,"GAITHER, HENRIETTA","RACKLEY, KRISTIE D",(559) 920-3939,1149 E. BATAVIA COURT,TULARE,CA,93274,TULARE,24,45,LICENSED,8/9/2010,
ADULT DAY PROGRAM,317003600,ADULT ACHIEVEMENT CENTER,PLACER ARC,MARY DWYER,(530) 878-8912,16825 PLACER HILLS RD. ROOM 20,MEADOW VISTA,CA,95722,PLACER,27,80,LICENSED,7/20/2006,
ADULT DAY PROGRAM,198600359,ADULT BASIC LEARNING ENVIRONMENT,"ADULT BASIC LEARNING ENVIRONMENT, INC.",NORMA VAZQUEZ,(626) 966-2857,344 SOUTH CITRUS AVENUE,COVINA,CA,91723,LOS ANGELES,28,45,LICENSED,6/22/2004,
ADULT DAY PROGRAM,197601249,"ADULT BASIC LEARNING ENVIRONMENT,  INC","ADULT BASIC LEARNING ENVIRONMENT, INC.",ROBERT MARTINEZ,(818) 842-4933,204 N. VICTORY BLVD.,BURBANK,CA,91502,LOS ANGELES,28,30,LICENSED,5/6/1997,
ADULT DAY PROGRAM,360908714,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.",VENEISHYA ROUSE,(909) 797-0168,34453 YUCAIPA BLVD.,YUCAIPA,CA,92399,SAN BERNARDINO,18,30,LICENSED,7/6/1988,
ADULT DAY PROGRAM,366400732,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.",CAROL SANTA CRUZ,(909) 335-3030,1910 ORANGETREE LANE SUITE 340,REDLANDS,CA,92374,SAN BERNARDINO,18,45,LICENSED,10/30/1995,
ADULT DAY PROGRAM,191592637,"ADULT BASIC LEARNING ENVIRONMENT, INC.",ADULT BASIC LEARNING ENVIRONMENT II,MICHAEL MORALES,(626) 858-5267,452 W. BADILLO ST.,COVINA,CA,91723,LOS ANGELES,28,30,LICENSED,2/1/1990,
ADULT DAY PROGRAM,197802692,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.",QUIYANA WILLIAMS,(562) 602-2818,"3255 SOUTH STREET, #202",LONG BEACH,CA,90805,LOS ANGELES,28,45,LICENSED,5/10/1999,
ADULT DAY PROGRAM,197603293,"ADULT BASIC LEARNING ENVIRONMENT, INC.","ADULT BASIC LEARNING ENVIRONMENT, INC.","RUNTU, RAMAMITA",(818) 550-8400,320 WEST COLORADO BLVD.,GLENDALE,CA,91202,LOS ANGELES,28,45,LICENSED,6/19/2001,
ADULT DAY PROGRAM,157200314,ADULT DAY CARE CENTER,ALZHEIMER'S DISEASE ASSOCIATION OF KERN COUNTY,"EUCCE, BRENDA",(661) 393-8871,5500 OLIVE DR.,BAKERSFIELD,CA,93308,KERN,24,45,CLOSED,5/13/1996,9/25/2017
ADULT DAY PROGRAM,176800488,ADULT DAY CARE RESPITE OF LAKE COUNTY,TRIPLE S INSTITUTE,"JOHNSON, JENNY",(707) 994-2829,14310 MEMORY LANE,CLEARLAKE,CA,95422,LAKE,21,15,CLOSED,7/3/1997,7/1/2014
ADULT DAY PROGRAM,176803509,"ADULT DAY CENTER, CLEARLAKE","ELDER DAY SERVICES OF LAKE COUNTY CA, INC.",JENNY JOHNSON,(707) 350-3030,14310 MEMORY LANE,CLEARLAKE,CA,95422,LAKE,21,15,LICENSED,6/19/2014,
ADULT DAY PROGRAM,176803510,"ADULT DAY CENTER, MIDDLETOWN","ELDER DAY SERVICES OF LAKE COUNTY CA, INC.",JENNY JOHNSON,(707) 350-3030,21256 WASHINGTON STREET,MIDDLETOWN,CA,95461,LAKE,21,13,LICENSED,6/19/2014,
ADULT DAY PROGRAM,317005272,ADULT DAY EXPERIENCES TOO,"ADULT DAY EXPERIENCES, INC",ASHLI E. KACKLE,(916) 251-7250,"2520 WARREN DRIVE, STE B",ROCKLIN,CA,95677,PLACER,27,30,LICENSED,3/4/2014,
ADULT DAY PROGRAM,317004491,ADULT DAY EXPERIENCES (ADE),"GAUDET, ADRIENE",ASHLI KACKLE,(916) 632-2332,"2510 WARREN DRIVE, SUITE A",ROCKLIN,CA,95677,PLACER,27,30,LICENSED,2/22/2010,
ADULT DAY PROGRAM,191670621,ADULT DEVELOPMENT CENTER-GARDENA,ASSOCIATION FOR RETARDED CITIZENS - SOUTH BAY,"CRAWFORD, EDYTHE M.",(310) 532-6271,13515 SO. VERMONT AVE.,GARDENA,CA,90247,LOS ANGELES,28,77,LICENSED,8/2/1993,
ADULT DAY PROGRAM,191600461,ADULT DEVELOPMENT CENTER - HERMOSA BEACH,ASSOCIATION FOR RETARDED CITIZENS - SOUTH BAY,"LEUCI, MARY",(310) 318-9343,710 PIER AVE.,HERMOSA BEACH,CA,90254,LOS ANGELES,28,52,LICENSED,3/10/1988,
ADULT DAY PROGRAM,390312001,ADULT DEVELOPMENT CENTER - NORTH,ARC SAN JOAQUIN,JAYNE AZEVEDO,(209) 931-1131,3555 WILMARTH ROAD,STOCKTON,CA,95205,SAN JOAQUIN,27,30,CLOSED,5/30/1989,7/14/2017
ADULT DAY PROGRAM,191220569,"ADULT SKILLS CENTER, THE","ADULT SKILLS CENTER, THE","LANE, KEN",(818) 996-3761,17400 VANOWEN STREET,VAN NUYS,CA,91406,LOS ANGELES,31,60,CLOSED,12/31/1987,10/1/2014
ADULT DAY PROGRAM,577001513,ADULT TRAINING PROGRAM,"YOLO EMPLOYMENT SERVICES, INC.",IRENE RAMIREZ,(530) 406-0830,220 HARTER AVENUE,WOODLAND,CA,95695,YOLO,27,45,LICENSED,1/27/2000,
ADULT DAY PROGRAM,312700054,ADULT VOCATIONAL SERVICES INC,ADULT VOCATIONAL SERVICES INC,"SUH, SEAN",(916) 203-6246,3845 ATHERTON RD #7,ROCKLIN,CA,95765,PLACER,27,30,LICENSED,5/25/2017,
ADULT DAY PROGRAM,336425344,ADVANCE ENTERPRISES RIVERSIDE,ARC RIVERSIDE,BARBARA VINCENT,(951) 688-5143,8138 MAR VISTA COURT,RIVERSIDE,CA,92504,RIVERSIDE,18,150,LICENSED,3/23/2012,
ADULT DAY PROGRAM,198201796,ADVANTAGE,"ANEL, LETICIA","ANEL, LETICIA",(310) 355-1150,11703 EUCALYPTUS,HAWTHORNE,CA,90250,LOS ANGELES,28,15,LICENSED,3/20/1998,
ADULT DAY PROGRAM,374603103,"ADVANTAGE CENTER, THE",KAT & SEY CORP,DARIUSH RAZAVI,(619) 697-6311,8363 CENTER DR UNIT 4,LA MESA,CA,91942,SAN DIEGO,8,75,LICENSED,3/14/2011,
ADULT DAY PROGRAM,191604283,ADVOCACY FOR RESPECT AND CHOICE-LONG BEACH,"ADVOCACY FOR RESPECT AND CHOICE-LONG BEACH, INC.",JENNY LIN,(562) 597-4396,4519 EAST STEARNS STREET,LONG BEACH,CA,90815,LOS ANGELES,28,60,LICENSED,1/5/1994,
ADULT DAY PROGRAM,198601443,ADVOCATE BEHAVIOR PROGRAM,KENNETH A. RICHARD,KENNETH A. RICHARD,(323) 369-3987,12833 S. BROADWAY,LOS ANGELES,CA,90061,LOS ANGELES,28,120,CLOSED,,11/7/2014
ADULT DAY PROGRAM,486803813,AGAPE LOVE CARE NETWORK INC,AGAPE LOVE CARE NETWORK INC,"FELTON JR, ARTHUR",(707) 803-7096,1679 SUNSET AVE,FAIRFIELD,CA,94533,SOLANO,21,12,PENDING,,
ADULT DAY PROGRAM,198601301,AIM HIGHER COVINA,"AIM HIGHER, INC.",ROBERT LICON,(626) 339-0400,440 SOUTH CITRUS AVE,COVINA,CA,91723,LOS ANGELES,28,80,LICENSED,5/7/2010,
ADULT DAY PROGRAM,392700156,AIM HIGHER INC,AIM HIGHER INC,"DAVID, MARINA",(916) 995-5164,1541 E MARCH LANE,STOCKTON,CA,95210,SAN JOAQUIN,27,70,LICENSED,10/27/2017,
ADULT DAY PROGRAM,198601783,AIM HIGHER INC,SAN GABRIEL ADULT DAY PROGRAM,MARINA DAVID,(916) 599-5200,1751 ROWLAND AVENUE,WEST COVINA,CA,91791,LOS ANGELES,28,70,LICENSED,12/20/2014,
ADULT DAY PROGRAM,486803250,AIM HIGHER INC FAIRFIELD,AIM HIGHER,"DAVID, MARINA",(916) 599-5200,"324 CAMPUS LANE, STE C",FAIRFIELD,CA,94534,SOLANO,21,80,CLOSED,5/3/2010,4/2/2014
ADULT DAY PROGRAM,435202347,AIM HIGHER INC.,SAN JOSE ADULT DAY PROGRAM DBA AIM HIGHER S'VALE,MARINA DAVID,(408) 462-9811,1237 REAMWOOD DRIVE,SUNNYVALE,CA,94089,SANTA CLARA,26,80,LICENSED,5/13/2013,
ADULT DAY PROGRAM,347004282,AIM HIGHER INC.,ED DAVID DBA AIM HIGHER #3,"DAVID, MARINA",(916) 599-5200,"3151 DWIGHT ROAD, SUITE 300",ELK GROVE,CA,95758,SACRAMENTO,27,30,LICENSED,12/19/2008,
ADULT DAY PROGRAM,347004075,AIM HIGHER INC.,ED DAVID DBA AIM HIGHER #2,"DAVID, ED",(916) 599-5200,"3151 DWIGHT ROAD, SUITE 100",ELK GROVE,CA,95758,SACRAMENTO,27,50,LICENSED,3/13/2008,
ADULT DAY PROGRAM,317003286,AIM HIGHER INC. DBA ED DAVID,AIM HIGHER INC. DBA ED DAVID,"DAVID, ED",(916) 783-4688,1132 SMITH LANE,ROSEVILLE,CA,95661,PLACER,27,136,LICENSED,8/25/2005,
ADULT DAY PROGRAM,435202216,"AIM HIGHER, INC.",AIM HIGHER,MARINA DAVID,(408) 599-3155,"90 GREAT OAKS BLVD., STE. #101",SAN JOSE,CA,95119,SANTA CLARA,26,80,LICENSED,12/27/2010,
ADULT DAY PROGRAM,397001860,ALAN SHORT CENTER,DDSO-DBA ALAN SHORT CENTER,MARGARITA GARCIA,(209) 948-5759,928 EAST ROSE STREET,STOCKTON,CA,95202,SAN JOAQUIN,27,105,LICENSED,12/6/2001,
ADULT DAY PROGRAM,496803583,ALCHEMIA,ALCHEMIA,LIZ JAHREN,(707) 978-3229,394 TESCONI COURT,SANTA ROSA,CA,95401,SONOMA,21,45,LICENSED,11/2/2015,
ADULT DAY PROGRAM,325000770,ALIVE,"PLUMAS RURAL SERVICES, INC.","PILLER, MICHELE",(530) 283-3611,112 BUCHANAN ST,QUINCY,CA,95971,PLUMAS,25,30,LICENSED,6/8/1999,
ADULT DAY PROGRAM,79200520,ALIVE CENTRAL COUNTY,"FUTURES EXPLORED,INC.","HACKETT, HEATHER",(925) 890-2709,"4071 PORT CHICAGO HWY, STE.140",CONCORD,CA,94520,CONTRA COSTA,15,30,LICENSED,7/30/2015,
ADULT DAY PROGRAM,75600047,ALIVE EAST COUNTY,"FUTURES EXPLORED, INC.",WILL SANFORD,(925) 779-1039,806-808-810 W. THIRD AVENUE,ANTIOCH,CA,94509,CONTRA COSTA,15,30,LICENSED,4/4/1996,
ADULT DAY PROGRAM,79200045,ALIVE EAST COUNTY II,"FUTURES EXPLORED, INC.",WILL SANFORD,(925) 756-0817,"625 W. FOURTH STREET, SUITE 8",ANTIOCH,CA,94509,CONTRA COSTA,15,45,LICENSED,3/25/2003,
ADULT DAY PROGRAM,297003934,ALL-STAR PROGRAMS,"COOK, JEAN-CLAUDE & JEFFERY C.","COOK, JEFFERY C.",(530) 432-6564,10140 WILD TURKEY LANE,SMARTSVILLE,CA,95977,NEVADA,27,24,LICENSED,9/18/2007,
ADULT DAY PROGRAM,496803613,ALLIED INTEGRATION SERVICES,"ALLIED INTEGRATION SERVICES, LLC","VANDERVILLE, ERIC",(415) 218-0699,50 EXECUTIVE AVE,ROHNERT PARK,CA,94928,SONOMA,21,30,LICENSED,11/13/2015,
ADULT DAY PROGRAM,425801846,ALPHA RESOURCE CENTER OF SANTA BARBARA,ALPHA RESOURCE CENTER OF SANTA BARBARA,KIMBERLY OLSON,(805) 683-2145,220 WEST CANON PERDIDO STREET,SANTA BARBARA,CA,93101,SANTA BARBARA,29,30,LICENSED,5/8/2013,
ADULT DAY PROGRAM,421704067,ALPHA RESOURCE CENTER OF SANTA BARBARA,ALPHA RESOURCE CENTER OF SANTA BARBARA,KIMBERLY OLSON,(805) 683-2145,4501 CATHEDRAL OAKS ROAD,SANTA BARBARA,CA,93110,SANTA BARBARA,29,125,LICENSED,1/4/1993,
ADULT DAY PROGRAM,198602628,ALPHA & OMEGA PRE EMPLOYMENT CENTER,JOSEPH AVERY,"AVERY, JOSEPH",(213) 909-6203,18515 AVALON BLVD,CARSON,CA,90746,LOS ANGELES,28,10,PENDING,,
ADULT DAY PROGRAM,374603172,ALTAGOLDEN,"BERNARDO TECHNICAL SERVICES, INC.",LAURA BARISH,(858) 779-9254,"16885 WEST BERNARDO,#210",SAN DIEGO,CA,92127,SAN DIEGO,8,24,CLOSED,10/19/2011,4/20/2018
ADULT DAY PROGRAM,306005285,ALTERNATIVE RESOURCE DAY PROGRAM,ALTERNATIVE RESOURCES DAY PROGRAM INC,"FESTIN, CRIS R",(714) 488-2493,7165 KATELLA AVE,STANTON,CA,90680,ORANGE,22,76,LICENSED,9/26/2017,
ADULT DAY PROGRAM,19200360,AMADOR TRI-VALLEY CENTER,ANKA BEHAVIORAL HEALTH INC,"WILLIAMS, JASMINE",(925) 265-6160,2177 LAS POSITAS CT BC,LIVERMORE,CA,94551,ALAMEDA,15,25,LICENSED,6/17/2010,
ADULT DAY PROGRAM,496830784,AMANI DAY SERVICES,AMANI DAY SERVICES LLC,"LUCERO, MARIBETH",(650) 866-9367,5420 STATE FARM DR SUITE A,ROHNERT PARK,CA,94928,SONOMA,21,30,LICENSED,10/2/2018,
ADULT DAY PROGRAM,198602199,AMBITIONS - CARSON DAY PROGRAM,"PEASE, RICHARD","GULLING, KARA",(310) 715-1796,329 W TORRANCE BLVD,CARSON,CA,90745,LOS ANGELES,28,60,LICENSED,7/21/2017,
ADULT DAY PROGRAM,198602588,AMBITIONS - LONG BEACH DAY PROGRAM,AMBITIONS CALIFORNIA INC,"WALLACE, ALYCIA",(310) 817-6100,850 LONG BEACH BLVD,LONG BEACH,CA,90813,LOS ANGELES,28,60,PENDING,,
ADULT DAY PROGRAM,306005168,AMERICANA SENIOR CARE,AMERICANA CARE LLC,JOCELYN TAN,(714) 408-2081,111 FASHION LANE,TUSTIN,CA,92780,ORANGE,22,180,LICENSED,10/4/2016,
ADULT DAY PROGRAM,79200182,"AMERICARE COMMUNITY SERVICES,INC-ADULT DAY PROG","AMERICARE COMMUNITY SERVICES, INC.",DOROTHY GUILLORY,(510) 836-2111,3200 MACDONALD AVENUE,RICHMOND,CA,94804,CONTRA COSTA,15,16,CLOSED,5/21/2008,1/1/2016
ADULT DAY PROGRAM,306004534,ANAHEIM ADULT DAY CARE,"ANAHEIM ADULT DAY CARE, INC.",AMANDA CARILLO,(714) 527-4888,"2557 WOODLAND DRIVE, W.",ANAHEIM,CA,92801,ORANGE,22,75,LICENSED,4/22/2013,
ADULT DAY PROGRAM,374603751,"ANGEL HOUSE, THE",GOLDEN AGE ENTERPRISES LLC,"PERRY, VICTOR",(619) 401-2040,860 SOUTH JOHNSON AVE,EL CAJON,CA,92020,SAN DIEGO,8,6,CLOSED,6/12/2017,3/23/2018
ADULT DAY PROGRAM,374603575,"ANGEL HOUSE, THE","ANGEL HOUSE, LLC, THE","MALVESTUTO, CHERYL",(619) 357-7627,860 SOUTH JOHNSON AVENUE,EL CAJON,CA,92020,SAN DIEGO,8,6,CLOSED,3/20/2015,10/11/2016
ADULT DAY PROGRAM,336413159,ANGEL VIEW ADULT DAY CARE,ANGEL VIEW CRIPPLED CHILDREN'S FOUNDATION INC.,MICHELE HUNSAKER,(760) 329-6471,12379 MIRACLE HILL ROAD,DESERT HOT SPRINGS,CA,92240,RIVERSIDE,18,105,LICENSED,6/17/2008,
ADULT DAY PROGRAM,191890446,ANNE SIPPI CLINIC,ANNE SIPPI CLINIC,"LINER, JERRY",(213) 221-5177,2457 ENDICOTT ST.,LOS ANGELES,CA,90032,LOS ANGELES,28,5,LICENSED,1/27/1989,
ADULT DAY PROGRAM,496803755,ANOVA EDUCATION AND BEHAVIOR CONSULTATION INC,ANOVA EDUCATION AND BEHAVIOR CONSULTATION INC,"LUDWIG, MARY BETH",(707) 527-7032,220 CONCOURSE BOULEVARD,SANTA ROSA,CA,95403,SONOMA,21,30,PENDING,,
